"NOMPSN";"PREPSN";"DATNAIPSN";"SEXPSN";"CODPRO";"CODE_NUA";"EFFECTIF_LEGAL";"CODDPT";"CODCOM";"CODSECT";"SORTANT";"CODE_NUANCE_DE_LISTE";"CODE_PERSONNALITE";"TOUR_ELECTION"
"GOFFAUX ESPEJO";"Claire";"1957-10-22";"F";"74";"VEC";45;"75";"75056";"75056SR20";"OUI";"LUG";;"élu T2"
"FLECHELLES";"Noah";"1999-08-03";"M";"33";"SOC";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"HÉBEL";"Amélie";"1987-01-04";"F";"37";"SOC";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"MEYNARD";"Frédéric";"1966-07-09";"M";"33";"PLP";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"FOFANA";"Mariam";"1995-01-09";"F";"38";"VEC";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"BOUGY";"Tymothée";"1987-06-15";"M";"33";"VEC";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"GAFFORELLI";"Annie";"1961-06-09";"F";"75";"COM";45;"75";"75056";"75056SR20";"OUI";"LUG";;"élu T2"
"DE LAVERNEE";"Vianney";"1986-10-09";"M";"37";"VEC";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"MAMMERI";"Mirina";"1995-07-08";"F";"37";"SOC";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"COMTET";"Léopold";"1997-07-28";"M";"33";"SOC";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"GERARDIN";"Sigrid";"1969-08-25";"F";"34";"COM";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"SADI";"Areski";"1967-12-31";"M";"43";"DVG";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"COULIBALY";"Sophie";"1980-01-05";"F";"22";"SOC";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"ARASSUS";"Eric";"1981-12-15";"M";"43";"VEC";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"DE LA ROCHEFOUCAULD";"Sophie";"1965-10-11";"F";"35";"FI";45;"75";"75056";"75056SR20";;"LFI";;"élu T2"
"GLEIZES";"Jérôme";"1970-06-12";"M";"34";"ECO";45;"75";"75056";"75056SR20";;"LFI";;"élu T2"
"VERZELETTI";"Céline";"1969-02-16";"F";"52";"FI";45;"75";"75056";"75056SR20";;"LFI";;"élu T2"
"ISSAHNANE";"Djamal";"1972-11-27";"M";"33";"FI";45;"75";"75056";"75056SR20";;"LFI";;"élu T2"
"AOUDAÏ";"Agnès";"1976-05-16";"F";"45";"FI";45;"75";"75056";"75056SR20";;"LFI";;"élu T2"
"DIDIER";"François-Marie";"1980-10-03";"M";"37";"LR";45;"75";"75056";"75056SR20";"OUI";"LUD";;"élu T2"
"JASSIN";"Brigitte";"1955-10-22";"F";"74";"LR";45;"75";"75056";"75056SR20";"OUI";"LUD";;"élu T2"
"MALETRAS";"Martin";"1991-04-25";"M";"37";"DVD";45;"75";"75056";"75056SR20";;"LUD";;"élu T2"
"MULLER";"Blandine";"2002-08-29";"F";"31";"UDI";45;"75";"75056";"75056SR20";;"LUD";;"élu T2"
"BEAUMONT";"Aymeric";"1997-03-04";"M";"37";"DVD";45;"75";"75056";"75056SR20";;"LUD";;"élu T2"
